Squadra,Giornata,PPDA,Casa/Trasferta,Anno
Genoa,22,6.142857142857143,Casa,2024-25
Genoa,23,11.285714285714286,Trasferta,2024-25
Genoa,24,12.391304347826088,Trasferta,2024-25
Genoa,25,4.555555555555555,Casa,2024-25
Genoa,26,13.583333333333334,Trasferta,2024-25
Genoa,27,6.133333333333334,Casa,2024-25
Genoa,28,7.48,Trasferta,2024-25
Genoa,29,10.958333333333334,Casa,2024-25
Genoa,30,7.59375,Trasferta,2024-25
Napoli,1,6.227272727272728,Trasferta,2024-25
Napoli,2,19.125,Casa,2024-25
Napoli,3,13.263157894736842,Casa,2024-25
Napoli,4,10.666666666666666,Trasferta,2024-25
Napoli,5,16.071428571428573,Trasferta,2024-25
Napoli,6,12.884615384615383,Casa,2024-25
Napoli,7,17.75,Casa,2024-25
Napoli,8,11.80952380952381,Trasferta,2024-25
Napoli,9,6.9523809523809526,Casa,2024-25
Napoli,10,18.41176470588235,Trasferta,2024-25
Napoli,11,12.615384615384617,Casa,2024-25
Napoli,12,16.41176470588235,Trasferta,2024-25
Napoli,13,11.176470588235292,Casa,2024-25
Napoli,14,21.818181818181817,Trasferta,2024-25
Napoli,15,8.612903225806452,Casa,2024-25
Napoli,16,5.909090909090909,Trasferta,2024-25
Napoli,17,13.411764705882351,Trasferta,2024-25
Napoli,18,6.55,Casa,2024-25
Napoli,19,9.238095238095235,Trasferta,2024-25
Napoli,20,8.045454545454545,Casa,2024-25
Napoli,21,14.5,Trasferta,2024-25
Napoli,22,14.5,Casa,2024-25
Napoli,23,19.266666666666666,Trasferta,2024-25
Napoli,24,12.857142857142858,Casa,2024-25
Napoli,25,7.676470588235294,Trasferta,2024-25
Napoli,26,7.739130434782608,Trasferta,2024-25
Napoli,27,19.272727272727277,Casa,2024-25
Napoli,28,14.5,Casa,2024-25
Napoli,29,7.3125,Trasferta,2024-25
Napoli,30,16.066666666666666,Casa,2024-25
Inter,1,7.555555555555555,Trasferta,2024-25
Inter,2,11.35,Casa,2024-25
Inter,3,15.23076923076923,Casa,2024-25
Inter,4,6.941176470588236,Trasferta,2024-25
Inter,5,11.0,Casa,2024-25
Inter,6,14.764705882352942,Trasferta,2024-25
Inter,7,4.842105263157895,Casa,2024-25
Inter,8,15.263157894736842,Trasferta,2024-25
Inter,9,21.23076923076923,Casa,2024-25
Inter,10,5.2727272727272725,Trasferta,2024-25
Inter,11,11.05,Casa,2024-25
Inter,12,6.771428571428571,Casa,2024-25
Inter,13,14.6,Trasferta,2024-25
Inter,14,17.428571428571427,Casa,2024-25
Inter,15,12.857142857142858,Trasferta,2024-25
Inter,16,6.0,Casa,2024-25
Inter,17,13.75,Trasferta,2024-25
Inter,18,10.61904761904762,Trasferta,2024-25
Inter,19,11.238095238095235,Casa,2024-25
Inter,20,6.5,Casa,2024-25
Inter,21,14.3,Trasferta,2024-25
Inter,22,10.63157894736842,Trasferta,2024-25
Inter,23,7.944444444444445,Trasferta,2024-25
Inter,24,7.884615384615385,Casa,2024-25
Inter,25,7.3076923076923075,Trasferta,2024-25
Inter,26,12.875,Casa,2024-25
Inter,27,16.58823529411765,Trasferta,2024-25
Inter,28,6.482758620689655,Casa,2024-25
Inter,29,10.304347826086955,Trasferta,2024-25
Inter,30,13.733333333333333,Casa,2024-25
Atalanta,1,9.36,Trasferta,2024-25
Atalanta,2,10.5,Trasferta,2024-25
Atalanta,3,16.5,Trasferta,2024-25
Atalanta,4,9.36,Casa,2024-25
Atalanta,5,10.08695652173913,Casa,2024-25
Atalanta,6,7.666666666666667,Trasferta,2024-25
Atalanta,7,11.68421052631579,Casa,2024-25
Atalanta,8,11.27777777777778,Trasferta,2024-25
Atalanta,9,10.05,Casa,2024-25
Atalanta,10,9.696969696969695,Casa,2024-25
Atalanta,11,15.666666666666666,Trasferta,2024-25
Atalanta,12,10.0,Casa,2024-25
Atalanta,13,13.952380952380953,Trasferta,2024-25
Atalanta,14,13.65,Trasferta,2024-25
Atalanta,15,13.583333333333334,Casa,2024-25
Atalanta,16,11.61111111111111,Trasferta,2024-25
Atalanta,17,12.785714285714286,Casa,2024-25
Atalanta,18,8.217391304347826,Trasferta,2024-25
Atalanta,19,8.172413793103448,Trasferta,2024-25
Atalanta,20,9.607142857142858,Casa,2024-25
Atalanta,21,7.388888888888889,Casa,2024-25
Atalanta,22,13.38095238095238,Trasferta,2024-25
Atalanta,23,10.473684210526317,Casa,2024-25
Atalanta,24,18.08333333333333,Trasferta,2024-25
Atalanta,25,10.37037037037037,Casa,2024-25
Atalanta,26,8.0,Trasferta,2024-25
Atalanta,27,7.48,Casa,2024-25
Atalanta,28,20.31578947368421,Trasferta,2024-25
Atalanta,29,12.363636363636363,Casa,2024-25
Atalanta,30,11.045454545454543,Trasferta,2024-25
Empoli,1,10.035714285714286,Casa,2024-25
Empoli,2,18.57894736842105,Trasferta,2024-25
Empoli,3,13.8,Trasferta,2024-25
Empoli,4,20.272727272727277,Casa,2024-25
Empoli,5,12.578947368421051,Trasferta,2024-25
Empoli,6,15.909090909090908,Casa,2024-25
Empoli,7,9.826086956521738,Trasferta,2024-25
Empoli,8,10.833333333333334,Casa,2024-25
Empoli,9,16.38888888888889,Trasferta,2024-25
Empoli,10,31.25,Casa,2024-25
Empoli,11,9.733333333333333,Casa,2024-25
Empoli,12,7.366666666666666,Trasferta,2024-25
Empoli,13,23.47058823529412,Casa,2024-25
Empoli,14,12.61904761904762,Trasferta,2024-25
Empoli,15,11.5,Trasferta,2024-25
Empoli,16,8.85,Casa,2024-25
Empoli,17,16.4,Trasferta,2024-25
Empoli,18,6.8,Casa,2024-25
Empoli,19,6.138888888888889,Trasferta,2024-25
Empoli,20,6.193548387096774,Casa,2024-25
Empoli,21,28.642857142857142,Trasferta,2024-25
Empoli,22,8.178571428571429,Casa,2024-25
Empoli,23,10.61904761904762,Trasferta,2024-25
Empoli,24,9.464285714285714,Casa,2024-25
Empoli,25,9.066666666666666,Trasferta,2024-25
Empoli,26,17.285714285714285,Casa,2024-25
Empoli,27,8.310344827586206,Trasferta,2024-25
Empoli,28,20.61111111111111,Casa,2024-25
Empoli,29,8.869565217391305,Trasferta,2024-25
Empoli,30,14.521739130434783,Trasferta,2024-25
Fiorentina,1,10.916666666666666,Trasferta,2024-25
Fiorentina,2,8.851851851851851,Casa,2024-25
Fiorentina,3,9.210526315789474,Casa,2024-25
Fiorentina,4,12.45,Trasferta,2024-25
Fiorentina,5,16.428571428571427,Casa,2024-25
Fiorentina,6,7.208333333333333,Trasferta,2024-25
Fiorentina,7,16.1875,Casa,2024-25
Fiorentina,8,9.833333333333334,Trasferta,2024-25
Fiorentina,9,20.176470588235293,Casa,2024-25
Fiorentina,10,14.0,Trasferta,2024-25
Fiorentina,11,30.181818181818183,Trasferta,2024-25
Fiorentina,12,11.428571428571429,Casa,2024-25
Fiorentina,13,15.652173913043478,Trasferta,2024-25
Fiorentina,14,12.695652173913045,Casa,2024-25
Fiorentina,15,8.409090909090908,Trasferta,2024-25
Fiorentina,16,19.25,Casa,2024-25
Fiorentina,17,15.523809523809524,Trasferta,2024-25
Fiorentina,18,9.033333333333331,Casa,2024-25
Fiorentina,19,7.863636363636363,Trasferta,2024-25
Fiorentina,20,8.655172413793103,Casa,2024-25
Fiorentina,21,20.73333333333333,Trasferta,2024-25
Fiorentina,22,9.52,Casa,2024-25
Fiorentina,23,22.933333333333334,Casa,2024-25
Fiorentina,24,19.916666666666668,Trasferta,2024-25
Fiorentina,25,11.96,Casa,2024-25
Fiorentina,26,13.8,Trasferta,2024-25
Fiorentina,27,16.4375,Casa,2024-25
Fiorentina,28,23.75,Trasferta,2024-25
Fiorentina,29,17.789473684210527,Casa,2024-25
Fiorentina,30,36.85714285714285,Casa,2024-25
AC Milan,1,16.58823529411765,Casa,2024-25
AC Milan,2,8.666666666666666,Trasferta,2024-25
AC Milan,3,12.578947368421051,Trasferta,2024-25
AC Milan,4,9.11111111111111,Casa,2024-25
AC Milan,5,37.0,Trasferta,2024-25
AC Milan,6,13.333333333333334,Casa,2024-25
AC Milan,7,5.851851851851852,Trasferta,2024-25
AC Milan,8,22.5,Casa,2024-25
AC Milan,9,7.129032258064516,Casa,2024-25
AC Milan,10,11.181818181818182,Trasferta,2024-25
AC Milan,11,13.75,Trasferta,2024-25
AC Milan,12,12.066666666666666,Casa,2024-25
AC Milan,13,8.3,Casa,2024-25
AC Milan,14,26.77777777777778,Trasferta,2024-25
AC Milan,15,11.521739130434783,Casa,2024-25
AC Milan,16,9.666666666666666,Trasferta,2024-25
AC Milan,17,11.954545454545457,Casa,2024-25
AC Milan,18,7.1,Casa,2024-25
AC Milan,19,6.114285714285714,Trasferta,2024-25
AC Milan,20,16.842105263157894,Trasferta,2024-25
AC Milan,21,8.380952380952381,Casa,2024-25
AC Milan,22,15.869565217391305,Casa,2024-25
AC Milan,23,7.75,Trasferta,2024-25
AC Milan,24,4.411764705882353,Casa,2024-25
AC Milan,25,11.461538461538462,Trasferta,2024-25
AC Milan,26,11.041666666666666,Trasferta,2024-25
AC Milan,27,9.16,Casa,2024-25
AC Milan,28,11.6,Trasferta,2024-25
AC Milan,29,9.307692307692308,Casa,2024-25
AC Milan,30,21.8,Trasferta,2024-25
Torino,1,41.66666666666666,Trasferta,2024-25
Torino,2,16.0,Casa,2024-25
Torino,3,8.346153846153847,Trasferta,2024-25
Torino,4,9.125,Casa,2024-25
Torino,5,7.739130434782608,Trasferta,2024-25
Torino,6,6.655172413793103,Casa,2024-25
Torino,7,53.5,Trasferta,2024-25
Torino,8,18.63636363636364,Trasferta,2024-25
Torino,9,16.208333333333332,Casa,2024-25
Torino,10,15.0,Trasferta,2024-25
Torino,11,13.22222222222222,Casa,2024-25
Torino,12,14.863636363636363,Trasferta,2024-25
Torino,13,9.814814814814817,Casa,2024-25
Torino,14,12.346153846153848,Casa,2024-25
Torino,15,9.666666666666666,Trasferta,2024-25
Torino,16,11.85,Trasferta,2024-25
Torino,17,15.3,Casa,2024-25
Torino,18,17.5,Trasferta,2024-25
Torino,19,11.944444444444445,Casa,2024-25
Torino,20,12.961538461538462,Casa,2024-25
Torino,21,13.210526315789474,Trasferta,2024-25
Torino,22,13.38888888888889,Casa,2024-25
Torino,23,22.53333333333333,Trasferta,2024-25
Torino,24,10.043478260869565,Casa,2024-25
Torino,25,17.615384615384617,Trasferta,2024-25
Torino,26,15.4375,Casa,2024-25
Torino,27,10.3,Trasferta,2024-25
Torino,28,13.8,Trasferta,2024-25
Torino,29,18.444444444444443,Casa,2024-25
Torino,30,10.037037037037036,Trasferta,2024-25
Cagliari,1,9.346153846153848,Casa,2024-25
Cagliari,2,12.05,Casa,2024-25
Cagliari,3,3.857142857142857,Trasferta,2024-25
Cagliari,4,8.88,Casa,2024-25
Cagliari,5,5.739130434782608,Casa,2024-25
Cagliari,6,22.466666666666665,Trasferta,2024-25
Cagliari,7,45.1,Trasferta,2024-25
Cagliari,8,23.666666666666668,Casa,2024-25
Cagliari,9,23.692307692307693,Trasferta,2024-25
Cagliari,10,11.321428571428571,Casa,2024-25
Cagliari,11,15.421052631578949,Trasferta,2024-25
Cagliari,12,29.33333333333333,Casa,2024-25
Cagliari,13,16.176470588235293,Trasferta,2024-25
Cagliari,14,8.6,Casa,2024-25
Cagliari,15,8.714285714285714,Trasferta,2024-25
Cagliari,16,13.08695652173913,Casa,2024-25
Cagliari,17,5.583333333333333,Trasferta,2024-25
Cagliari,18,33.72727272727273,Casa,2024-25
Cagliari,19,10.090909090909092,Trasferta,2024-25
Cagliari,20,19.53846153846154,Trasferta,2024-25
Cagliari,21,12.666666666666666,Casa,2024-25
Cagliari,22,15.2,Trasferta,2024-25
Cagliari,23,19.38888888888889,Casa,2024-25
Cagliari,24,17.235294117647058,Casa,2024-25
Cagliari,25,20.384615384615383,Trasferta,2024-25
Cagliari,26,27.384615384615383,Casa,2024-25
Cagliari,27,10.678571428571429,Trasferta,2024-25
Cagliari,28,14.411764705882351,Casa,2024-25
Cagliari,29,20.42105263157895,Trasferta,2024-25
Cagliari,30,8.0,Casa,2024-25
Parma Calcio 1913,1,10.208333333333334,Casa,2024-25
Parma Calcio 1913,2,26.454545454545453,Casa,2024-25
Parma Calcio 1913,3,21.857142857142858,Trasferta,2024-25
Parma Calcio 1913,4,21.53846153846154,Casa,2024-25
Parma Calcio 1913,5,8.181818181818182,Trasferta,2024-25
Parma Calcio 1913,6,14.857142857142858,Casa,2024-25
Parma Calcio 1913,7,14.3,Trasferta,2024-25
Parma Calcio 1913,8,19.666666666666668,Trasferta,2024-25
Parma Calcio 1913,9,11.68421052631579,Casa,2024-25
Parma Calcio 1913,10,29.5,Trasferta,2024-25
Parma Calcio 1913,11,17.0,Casa,2024-25
Parma Calcio 1913,12,18.823529411764707,Trasferta,2024-25
